ticker,data,saldo_rs,fonte
PRIO3,2010-12-31,0.0,DFP
PRIO3,2011-03-31,0.0,ITR
PRIO3,2011-06-30,0.0,ITR
PRIO3,2011-09-30,0.0,ITR
PRIO3,2011-12-31,0.0,DFP
PRIO3,2012-03-31,0.0,ITR
PRIO3,2012-06-30,0.0,ITR
PRIO3,2012-09-30,0.0,ITR
PRIO3,2012-12-31,0.0,DFP
PRIO3,2013-03-31,0.0,ITR
PRIO3,2013-06-30,0.0,ITR
PRIO3,2013-09-30,0.0,ITR
PRIO3,2013-12-31,0.0,DFP
PRIO3,2014-03-31,0.0,ITR
PRIO3,2014-06-30,0.0,ITR
PRIO3,2014-09-30,0.0,ITR
PRIO3,2014-12-31,0.0,DFP
PRIO3,2015-03-31,0.0,ITR
PRIO3,2015-06-30,0.0,ITR
PRIO3,2015-09-30,0.0,ITR
PRIO3,2015-12-31,0.0,DFP
PRIO3,2016-03-31,0.0,ITR
PRIO3,2016-06-30,0.0,ITR
PRIO3,2016-09-30,0.0,ITR
PRIO3,2016-12-31,0.0,DFP
PRIO3,2017-03-31,0.0,ITR
PRIO3,2017-06-30,0.0,ITR
PRIO3,2017-09-30,0.0,ITR
PRIO3,2017-12-31,0.0,DFP
PRIO3,2018-03-31,0.0,ITR
PRIO3,2018-06-30,61038000.0,ITR
PRIO3,2018-09-30,61500000.0,ITR
PRIO3,2018-12-31,0.0,DFP
PRIO3,2019-03-31,55961000.0,ITR
PRIO3,2019-06-30,0.0,ITR
PRIO3,2019-09-30,49463000.0,ITR
PRIO3,2019-12-31,0.0,DFP
PRIO3,2020-03-31,0.0,ITR
PRIO3,2020-06-30,0.0,ITR
PRIO3,2020-09-30,11687000.0,ITR
PRIO3,2020-12-31,40874000.0,DFP
PRIO3,2021-03-31,40874000.0,ITR
PRIO3,2021-06-30,40874000.0,ITR
PRIO3,2021-09-30,40874000.0,ITR
PRIO3,2021-12-31,40874000.0,DFP
PRIO3,2022-03-31,40874000.0,ITR
PRIO3,2022-06-30,40435000.0,ITR
PRIO3,2022-09-30,40434000.0,ITR
PRIO3,2022-12-31,59067000.0,DFP
PRIO3,2023-03-31,109001000.0,ITR
PRIO3,2023-06-30,59067000.0,ITR
PRIO3,2023-09-30,59067000.0,ITR
PRIO3,2023-12-31,545846000.0,DFP
PRIO3,2024-03-31,626788000.0,ITR
PRIO3,2024-06-30,732278000.0,ITR
PRIO3,2024-09-30,757567000.0,ITR
PRIO3,2024-12-31,1461038000.0,DFP
PRIO3,2025-03-31,1718602000.0,ITR
PRIO3,2025-06-30,1849512000.0,ITR
PRIO3,2025-09-30,1886777000.0,ITR
PRIO3,2025-12-31,1905612000.0,DFP
PRIO3,2026-03-31,2209113000.0,ITR
RDOR3,2018-12-31,473193000.0,DFP
RDOR3,2019-03-31,473193000.0,ITR
RDOR3,2019-06-30,474462000.0,ITR
RDOR3,2019-09-30,474462000.0,ITR
RDOR3,2019-12-31,474462000.0,DFP
RDOR3,2020-03-31,474462000.0,ITR
RDOR3,2020-06-30,474462000.0,ITR
RDOR3,2020-09-30,265768000.0,ITR
RDOR3,2020-12-31,263384000.0,DFP
RDOR3,2021-03-31,263384000.0,ITR
RDOR3,2021-06-30,139282000.0,ITR
RDOR3,2021-09-30,139282000.0,ITR
RDOR3,2021-12-31,139282000.0,DFP
RDOR3,2022-03-31,129998000.0,ITR
RDOR3,2022-06-30,130739000.0,ITR
RDOR3,2022-09-30,130739000.0,ITR
RDOR3,2022-12-31,544610000.0,DFP
RDOR3,2023-03-31,519417000.0,ITR
RDOR3,2023-06-30,519417000.0,ITR
RDOR3,2023-09-30,519417000.0,ITR
RDOR3,2023-12-31,519418000.0,DFP
RDOR3,2024-03-31,511747000.0,ITR
RDOR3,2024-06-30,813836000.0,ITR
RDOR3,2024-09-30,853486000.0,ITR
RDOR3,2024-12-31,1458602000.0,DFP
RDOR3,2025-03-31,1773785000.0,ITR
RDOR3,2025-06-30,1828733000.0,ITR
RDOR3,2025-09-30,1828733000.0,ITR
RDOR3,2025-12-31,1828733000.0,DFP
RDOR3,2026-03-31,2115785000.0,ITR
VALE3,2010-12-31,0.0,DFP
VALE3,2011-03-31,0.0,ITR
VALE3,2011-06-30,0.0,ITR
VALE3,2011-09-30,0.0,ITR
VALE3,2011-12-31,0.0,DFP
VALE3,2012-03-31,0.0,ITR
VALE3,2012-06-30,0.0,ITR
VALE3,2012-09-30,0.0,ITR
VALE3,2012-12-31,0.0,DFP
VALE3,2013-03-31,0.0,ITR
VALE3,2013-06-30,0.0,ITR
VALE3,2013-09-30,0.0,ITR
VALE3,2013-12-31,0.0,DFP
VALE3,2014-03-31,0.0,ITR
VALE3,2014-06-30,0.0,ITR
VALE3,2014-09-30,0.0,ITR
VALE3,2014-12-31,0.0,DFP
VALE3,2015-03-31,0.0,ITR
VALE3,2015-06-30,0.0,ITR
VALE3,2015-09-30,0.0,ITR
VALE3,2015-12-31,0.0,DFP
VALE3,2016-03-31,0.0,ITR
VALE3,2016-06-30,0.0,ITR
VALE3,2016-09-30,0.0,ITR
VALE3,2016-12-31,0.0,DFP
VALE3,2017-03-31,0.0,ITR
VALE3,2017-06-30,0.0,ITR
VALE3,2017-09-30,0.0,ITR
VALE3,2017-12-31,0.0,DFP
VALE3,2018-03-31,0.0,ITR
VALE3,2018-06-30,0.0,ITR
VALE3,2018-09-30,0.0,ITR
VALE3,2018-12-31,0.0,DFP
VALE3,2019-03-31,0.0,ITR
VALE3,2019-06-30,0.0,ITR
VALE3,2019-09-30,0.0,ITR
VALE3,2019-12-31,0.0,DFP
VALE3,2020-03-31,0.0,ITR
VALE3,2020-06-30,0.0,ITR
VALE3,2020-09-30,0.0,ITR
VALE3,2020-12-31,0.0,DFP
VALE3,2021-03-31,0.0,ITR
VALE3,2021-06-30,0.0,ITR
VALE3,2021-09-30,25330002000.0,ITR
VALE3,2021-12-31,29190000000.0,DFP
VALE3,2022-03-31,23677000000.0,ITR
VALE3,2022-06-30,36430000000.0,ITR
VALE3,2022-09-30,20599000000.0,ITR
VALE3,2022-12-31,25677000000.0,DFP
VALE3,2023-03-31,8264000000.0,ITR
VALE3,2023-06-30,14861000000.0,ITR
VALE3,2023-09-30,17521000000.0,ITR
VALE3,2023-12-31,17739000000.0,DFP
VALE3,2024-03-31,19088000000.0,ITR
VALE3,2024-06-30,19673000000.0,ITR
VALE3,2024-09-30,19785000000.0,ITR
VALE3,2024-12-31,19785000000.0,DFP
VALE3,2025-03-31,19781000000.0,ITR
VALE3,2025-06-30,19781000000.0,ITR
VALE3,2025-09-30,19781000000.0,ITR
VALE3,2025-12-31,19781000000.0,DFP
VALE3,2026-03-31,13149000000.0,ITR
